노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,2,[02] 07:47,02_낙성대입구,2,39,낙성대입구,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 7:55,0,18
11110537,관악02,2,[02] 07:47,03_인헌초등학교,3,40,인헌초등학교,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 7:56,0,18
11110537,관악02,2,[02] 07:47,04_낙성대현대아파트,4,41,낙성대현대아파트,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 7:57,0,18
11110537,관악02,2,[02] 07:47,05_낙성대공원.관악복합평생교육센터,5,42,낙성대공원.관악복합평생교육센터,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 7:58,0,18
11110537,관악02,2,[02] 07:47,06_서울과학전시관,6,43,서울과학전시관,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,07_호암교수회관,7,44,호암교수회관,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 7:59,0,18
11110537,관악02,2,[02] 07:47,08_인헌아파트,8,45,인헌아파트,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,09_교수아파트,9,46,교수아파트,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,10_가족생활동,10,47,가족생활동,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,11_서울대후문.연구공원,11,48,서울대후문.연구공원,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,12_학부생활관,12,49,학부생활관,서울70사8904,7:47,2019-09-02 7:47,2019-09-02 8:02,0,18
11110537,관악02,2,[02] 07:47,13_대학원생활관,13,50,대학원생활관,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,14_기숙사삼거리,14,51,기숙사삼거리,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,15_공동기기원,15,52,공동기기원,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,16_유전공학연구소.반도체공동연구소,16,53,유전공학연구소.반도체공동연구소,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,17_에너지자원연구소,17,54,에너지자원연구소,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,18_신소재연구소,18,55,신소재연구소,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,19_제2파워플랜트,19,56,제2파워플랜트,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,20_건설환경종합연구소,20,57,건설환경종합연구소,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,21_제2공학관,21,58,제2공학관,서울70사8904,7:47,2019-09-02 7:47,,0,18
11110537,관악02,2,[02] 07:47,22_유회진학술정보관.제1공학관,22,59,유회진학술정보관.제1공학관,서울70사8904,7:47,2019-09-02 7:47,,0,18
